label,rep,idx,t_ms,ax,ay,az,gx,gy,gz
2,8,84,1681,0.957522,-0.746430,-0.769333,1.700977,-0.793906,1.774453
2,8,85,1701,0.959963,-0.749360,-0.762009,0.013477,-0.356406,1.899453
2,8,86,1721,0.963381,-0.740082,-0.745407,-1.861523,-0.793906,1.711953
2,8,87,1741,0.965823,-0.722016,-0.734665,-2.236523,-2.356406,1.961953
2,8,88,1761,0.954104,-0.733246,-0.743942,-1.361523,-3.481406,2.774453
2,8,89,1781,0.940432,-0.745453,-0.753220,-0.549023,-3.356406,2.149453
2,8,90,1801,0.939944,-0.760590,-0.771286,0.388477,-3.856406,1.524453
2,8,91,1821,0.924807,-0.780610,-0.817673,1.950977,-2.106406,-1.975547
2,8,92,1841,0.940920,-0.778657,-0.826462,-2.049023,2.956094,-4.288047
2,8,93,1861,0.956057,-0.772797,-0.800583,-3.861523,6.893594,-5.538047
2,8,94,1881,0.980959,-0.744477,-0.761032,0.700977,8.331094,-6.538047
2,8,95,1901,0.991702,-0.730317,-0.732224,1.825977,5.331094,-4.788047
2,8,96,1921,0.986331,-0.731293,-0.728806,5.200976,3.143594,-3.850547
2,8,97,1941,0.979006,-0.732758,-0.732712,1.825977,1.081094,-2.788047
2,8,98,1961,0.975100,-0.724946,-0.745895,1.638477,-0.918906,-1.663047
2,8,99,1981,0.965334,-0.715668,-0.768356,0.263477,-1.481406,-0.850547
2,9,0,0,0.942874,-0.673188,-0.911423,3.263477,9.018594,-6.725547
2,9,1,21,0.946292,-0.610200,-0.941696,7.513476,16.768593,-4.538047
2,9,2,41,0.936038,-0.541840,-0.969528,12.513476,29.206093,-3.975547
2,9,3,61,0.957522,-0.385590,-0.970016,16.450977,47.268593,2.024453
2,9,4,81,0.962893,-0.196137,-0.915329,15.013476,66.893593,18.774452
2,9,5,101,0.961917,-0.127778,-0.762497,-10.799024,82.456093,41.149452
2,9,6,121,0.972170,-0.185395,-0.550583,5.700976,87.893593,56.149452
2,9,7,141,0.949709,-0.283539,-0.324020,41.638477,81.706093,71.149452
2,9,8,161,0.934573,-0.367524,-0.142868,56.700977,66.643593,83.586952
2,9,9,181,0.880862,-0.512055,-0.032516,49.013477,53.893593,99.649452
2,9,10,201,0.825686,-0.671235,-0.002731,12.263476,50.643593,116.899452
2,9,11,221,0.833987,-0.840668,0.058304,-39.424023,46.518593,132.711960
2,9,12,241,0.874514,-1.099457,0.140823,-72.861526,21.518593,137.399460
2,9,13,261,0.870120,-1.403168,0.149612,-59.736523,-28.356407,106.336952
2,9,14,281,0.808596,-1.528168,0.002151,-30.549023,-71.918907,60.399452
2,9,15,301,0.774417,-1.509614,-0.293259,-22.236523,-108.106407,30.836952
2,9,16,321,0.700198,-1.504731,-0.621384,-43.111523,-125.793907,20.149452
2,9,17,341,0.694827,-1.569184,-0.894333,-65.986526,-126.231407,9.711953
2,9,18,361,0.723635,-1.605317,-1.104782,-83.236526,-114.606407,1.524453
2,9,19,381,0.720706,-1.656098,-1.272751,-104.361526,-94.293907,-0.350547
2,9,20,401,0.746096,-1.713227,-1.336227,-131.486526,-65.668907,-17.975548
2,9,21,421,0.789553,-1.637055,-1.336227,-119.361526,-48.106407,-50.850548
2,9,22,441,0.824709,-1.423188,-1.365524,-92.861526,-36.543907,-72.913048
2,9,23,461,0.849612,-1.250336,-1.354782,-72.611526,-26.168907,-82.975548
2,9,24,481,0.862795,-1.128754,-1.336227,-42.799023,-24.981407,-85.725548
2,9,25,501,0.858889,-1.048188,-1.345016,-7.236524,-26.981407,-86.663048
2,9,26,521,0.852542,-0.976899,-1.362595,20.700977,-22.793907,-94.413048
2,9,27,541,0.865725,-0.853852,-1.365036,40.763477,-15.981406,-101.975548
2,9,28,561,0.874026,-0.709809,-1.364059,49.950977,-11.293906,-98.600548
2,9,29,581,0.859866,-0.591645,-1.363083,48.825977,-6.918906,-89.850548
2,9,30,601,0.832034,-0.494477,-1.369919,60.200977,7.143594,-83.788048
2,9,31,621,0.794924,-0.406586,-1.334274,51.513477,34.206093,-72.850548
2,9,32,641,0.798342,-0.295258,-1.167770,28.575977,60.393593,-66.475548
2,9,33,661,0.863772,-0.161469,-0.937302,22.325977,71.831093,-59.663048
2,9,34,681,0.916995,-0.084809,-0.737106,30.450977,70.206093,-41.600548
2,9,35,701,0.934573,-0.106782,-0.610153,47.950977,59.331093,-26.225548
2,9,36,721,0.939456,-0.243500,-0.552048,79.388474,42.143593,-11.350547
2,9,37,741,0.923342,-0.402192,-0.560837,93.825974,49.768593,-0.663047
2,9,38,761,0.937502,-0.515473,-0.510544,68.513474,52.956093,7.336953
2,9,39,781,0.954104,-0.618989,-0.420212,40.200977,51.831093,15.211953
2,9,40,801,0.967776,-0.723481,-0.402145,22.763477,52.081093,21.836952
2,9,41,821,1.000491,-0.787934,-0.366013,2.388477,46.268593,16.274452
2,9,42,841,1.029788,-0.801118,-0.334274,1.200977,33.643593,6.024453
2,9,43,861,1.051760,-0.793305,-0.362595,10.013476,16.518593,-3.663047
2,9,44,881,1.038577,-0.772309,-0.449020,12.200976,-1.981406,-9.475547
2,9,45,901,1.008303,-0.744477,-0.582809,8.388476,-10.293906,-10.225547
2,9,46,921,0.989749,-0.702485,-0.670700,0.638477,-8.293906,-9.225547
